wall_time,elapsed_s,mode,roll_deg,pitch_deg,yaw_deg,speed_mps,accel_g,gyro_dps,stationary,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,alerts
1783262647.824,0.000,straight_walk,5.93,-12.29,25.13,0.13,1.06,11.25,0,0.16,0.31,1.00,-5.18,4.51,8.90,
1783262647.841,0.018,straight_walk,6.06,-12.27,25.70,0.16,1.03,28.14,0,0.19,0.27,0.97,2.80,1.95,27.93,
1783262647.861,0.038,straight_walk,6.19,-12.34,26.57,0.18,0.99,43.10,0,0.22,0.23,0.94,8.05,1.40,42.32,
1783262647.881,0.058,straight_walk,6.24,-12.41,27.58,0.19,0.99,50.78,0,0.21,0.16,0.95,9.63,1.89,49.82,
1783262647.901,0.078,straight_walk,6.19,-12.44,28.61,0.19,0.99,51.09,0,0.18,0.11,0.97,8.29,2.13,50.37,
1783262647.921,0.098,straight_walk,6.04,-12.46,29.55,0.18,1.01,46.20,0,0.18,0.06,0.99,5.43,1.52,45.85,
1783262647.941,0.118,straight_walk,5.80,-12.49,30.34,0.16,1.00,38.59,0,0.19,0.01,0.99,1.77,1.04,38.54,
1783262647.961,0.138,straight_walk,5.51,-12.50,30.95,0.15,1.01,29.97,0,0.21,-0.01,0.98,-1.40,1.95,29.88,
1783262647.981,0.158,straight_walk,5.23,-12.46,31.40,0.13,1.01,21.99,0,0.20,-0.00,1.00,-3.84,2.87,21.46,
1783262648.001,0.178,straight_walk,4.98,-12.37,31.70,0.13,1.04,15.75,0,0.16,0.04,1.03,-5.85,2.20,14.45,
1783262648.021,0.198,straight_walk,4.76,-12.29,31.90,0.13,1.06,12.37,0,0.14,0.05,1.05,-7.20,0.24,10.06,
1783262648.041,0.218,straight_walk,4.53,-12.26,32.09,0.14,1.07,11.84,0,0.14,0.04,1.06,-6.59,-2.26,9.57,
1783262648.061,0.238,straight_walk,4.36,-12.30,32.32,0.15,1.08,13.31,0,0.16,0.03,1.06,-3.41,-5.06,11.83,
1783262648.081,0.258,straight_walk,4.25,-12.43,32.64,0.16,1.06,17.22,0,0.20,0.03,1.04,0.43,-6.71,15.85,
1783262648.101,0.278,straight_walk,4.18,-12.62,33.03,0.16,1.03,20.88,0,0.25,0.03,1.00,3.66,-6.65,19.45,
1783262648.121,0.298,straight_walk,4.12,-12.80,33.44,0.15,1.00,22.12,0,0.26,0.01,0.97,4.94,-5.24,20.91,
1783262648.141,0.318,straight_walk,4.02,-12.92,33.83,0.14,1.00,19.87,0,0.25,-0.02,0.97,4.33,-3.05,19.15,
1783262648.161,0.338,straight_walk,3.89,-12.97,34.13,0.14,1.00,15.36,0,0.22,-0.03,0.98,2.80,-2.20,14.94,
