wall_time,elapsed_s,mode,roll_deg,pitch_deg,yaw_deg,speed_mps,accel_g,gyro_dps,stationary,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,alerts
1783262299.763,0.000,hunch,2.10,-37.81,-50.66,0.34,1.03,3.53,0,0.60,-0.03,0.83,1.28,0.61,3.23,
1783262299.781,0.018,hunch,2.04,-37.78,-50.63,0.35,1.03,2.56,0,0.60,-0.02,0.83,1.95,-0.79,1.46,
1783262299.801,0.038,hunch,2.04,-37.79,-50.63,0.35,0.99,2.72,0,0.59,0.00,0.80,1.89,-1.95,-0.06,
1783262299.821,0.058,hunch,2.07,-37.84,-50.65,0.35,0.96,3.26,0,0.59,0.02,0.76,1.77,-2.68,-0.55,
1783262299.841,0.078,hunch,2.12,-37.92,-50.65,0.34,0.96,3.21,0,0.61,0.03,0.75,2.01,-2.50,-0.06,
1783262299.861,0.098,hunch,2.16,-38.00,-50.64,0.33,0.99,2.66,0,0.64,0.03,0.75,2.01,-1.71,0.30,
1783262299.881,0.118,hunch,2.21,-38.04,-50.65,0.33,1.01,1.42,0,0.65,0.04,0.77,1.40,0.06,-0.18,
1783262299.901,0.138,hunch,2.22,-38.03,-50.65,0.33,1.02,1.62,1,0.64,0.04,0.79,0.30,1.59,-0.06,
1783262299.921,0.158,hunch,2.19,-38.02,-50.62,0.33,1.02,1.54,0,0.64,0.02,0.80,-0.24,1.22,0.91,
1783262299.941,0.178,hunch,2.14,-38.01,-50.58,0.34,1.03,2.10,0,0.64,0.02,0.80,-0.55,1.10,1.71,
1783262299.961,0.198,hunch,2.12,-38.02,-50.53,0.34,1.02,2.59,0,0.66,0.05,0.79,-1.10,1.46,1.83,
1783262299.981,0.218,hunch,2.09,-38.05,-50.47,0.33,1.01,4.61,0,0.68,0.06,0.75,-2.44,3.23,2.20,
1783262300.002,0.239,hunch,2.00,-38.03,-50.41,0.33,1.01,7.56,0,0.69,0.04,0.73,-3.66,6.28,2.07,
1783262300.021,0.258,hunch,1.83,-37.89,-50.34,0.33,1.00,11.56,0,0.65,-0.00,0.76,-4.21,10.43,2.68,
1783262300.041,0.278,hunch,1.65,-37.62,-50.29,0.33,1.01,12.79,0,0.59,-0.02,0.81,-3.72,12.13,1.59,
1783262300.061,0.298,hunch,1.55,-37.36,-50.29,0.34,1.02,10.20,0,0.57,-0.00,0.84,-2.99,9.76,-0.18,
1783262300.081,0.318,hunch,1.51,-37.18,-50.31,0.34,1.02,8.01,0,0.60,0.02,0.83,-3.17,7.26,-1.22,
1783262300.101,0.338,hunch,1.47,-37.03,-50.33,0.34,1.03,8.18,0,0.61,0.04,0.83,-4.09,7.01,-1.04,
1783262300.121,0.358,hunch,1.39,-36.84,-50.32,0.34,1.01,8.59,0,0.58,0.04,0.83,-4.70,7.20,0.24,
1783262300.141,0.378,hunch,1.29,-36.66,-50.29,0.35,1.01,7.01,0,0.55,0.02,0.84,-4.33,5.43,0.98,
1783262300.161,0.398,hunch,1.20,-36.55,-50.28,0.35,1.01,4.99,0,0.57,0.02,0.83,-3.96,2.99,0.55,
1783262300.181,0.419,hunch,1.12,-36.47,-50.26,0.35,1.00,4.25,0,0.57,0.01,0.82,-3.60,2.13,0.73,
