wall_time,elapsed_s,mode,roll_deg,pitch_deg,yaw_deg,speed_mps,accel_g,gyro_dps,stationary,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,alerts
1783262370.644,0.000,straight,-0.45,-14.61,125.14,0.02,1.01,1.45,1,0.26,-0.00,0.98,0.73,1.16,0.49,
1783262370.661,0.018,straight,-0.44,-14.59,125.16,0.02,1.01,1.57,1,0.26,-0.00,0.97,0.55,1.34,0.61,
1783262370.681,0.038,straight,-0.43,-14.56,125.17,0.02,1.01,1.66,1,0.25,-0.00,0.98,0.61,1.28,0.85,
1783262370.701,0.058,straight,-0.42,-14.53,125.20,0.00,1.02,1.70,1,0.25,-0.00,0.99,0.24,1.28,1.10,
1783262370.721,0.078,straight,-0.44,-14.49,125.23,0.01,1.02,1.77,0,0.24,-0.01,1.00,0.18,0.98,1.46,
1783262370.741,0.098,straight,-0.45,-14.46,125.26,0.01,1.02,1.58,0,0.23,-0.02,1.00,0.43,0.43,1.46,
1783262370.761,0.118,straight,-0.46,-14.45,125.29,0.02,1.02,1.75,0,0.24,-0.03,0.99,0.91,-0.30,1.46,
1783262370.781,0.138,straight,-0.46,-14.47,125.31,0.02,1.01,1.67,1,0.26,-0.02,0.98,1.10,-0.49,1.16,
1783262370.801,0.158,straight,-0.45,-14.49,125.32,0.02,1.01,0.77,1,0.27,-0.01,0.97,0.67,0.06,0.37,
1783262370.821,0.178,straight,-0.46,-14.48,125.31,0.02,1.01,1.01,1,0.26,-0.02,0.97,0.00,0.91,-0.43,
1783262370.841,0.198,straight,-0.48,-14.46,125.29,0.02,1.01,1.53,1,0.25,-0.02,0.98,-0.18,1.16,-0.98,
1783262370.861,0.218,straight,-0.47,-14.43,125.26,0.02,1.01,1.53,1,0.24,-0.02,0.98,0.12,0.73,-1.34,
1783262370.881,0.238,straight,-0.46,-14.41,125.24,0.02,1.01,1.09,1,0.25,-0.01,0.98,0.37,0.30,-0.98,
1783262370.901,0.258,straight,-0.45,-14.41,125.23,0.02,1.01,0.77,1,0.25,-0.00,0.98,0.37,0.12,-0.67,
